R1
,D0601
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y
,,78,0.13848,,78,0.13848,,78,0.13848
,,106,0.15925,,103,0.17705,,101,0.16914
,,150,0.22156,,142,0.22156,,124,0.1998
,,209,0.26805,,167,0.24135,,143,0.22255
,,232,0.2908,,209,0.27893,,178,0.25915
,,271,0.31256,,249,0.31751,,203,0.27992
,,296,0.33828,,290,0.33531,,228,0.31256
,,324,0.34817,,339,0.3729,,272,0.34916
,,364,0.36301,,383,0.38971,,302,0.35905
,,409,0.38477,,427,0.4095,,338,0.38279
,,437,0.39336310344827585,,437,0.41444565217391305,,366,0.39169
,,,,,,,,405,0.41642
,,,,,,,,437,0.4451
,D0643
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y
,,83,0.15324,,83,0.15324,,83,0.15324
,,139,0.22692,,104,0.16503,,104,0.16503
,,171,0.25246,,150,0.22986,,156,0.25147
,,234,0.31925,,208,0.28684,,196,0.26817
,,255,0.33202,,252,0.32515,,239,0.29764
,,290,0.35855,,299,0.36051,,278,0.33694
,,333,0.38212,,333,0.3733602564102564,,322,0.37623
,,,,,,,,333,0.38510464285714285
,D0645
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y
,,80,0.12221,,80,0.12221,,80,0.12221
,,125,0.18041,,125,0.18041,,130,0.17265
,,163,0.21726,,168,0.22599,,190,0.23278
,,194,0.22987,,215,0.27546,,223,0.25897
,,228,0.27837,,274,0.32881,,252,0.27158
,,273,0.33075,,323,0.36954,,291,0.30941
,,310,0.355,,385,0.41028,,338,0.34045
,,353,0.38894,,425,0.41998,,362,0.355
,,398,0.40931,,440,0.42276617021276597,,396,0.36081
,,440,0.41707,,,,,416,0.36469
,,,,,,,,440,0.3752718181818182
,D0647
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y
,,82,0.10972,,82,0.10972,,82,0.10972
,,99,0.14629,,121,0.14918,,113,0.15496
,,124,0.18287,,150,0.18864,,136,0.18864
,,152,0.22425,,179,0.21752,,161,0.22522
,,209,0.26179,,228,0.27623,,193,0.28104
,,262,0.33301,,268,0.31858,,218,0.30895
,,312,0.37729,,313,0.3513,,273,0.35226
,,345,0.39365,,341,0.36862,,324,0.38787
,,382,0.41097,,372,0.40712,,353,0.4052
,,433,0.44273,,431,0.46487,,386,0.44562
,,,,,433,0.4654341379310345,,427,0.45717
,,,,,,,,433,0.46259880000000003
,D0650
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y,,RealSessions_AVBRJBJONL47I_x,RealSessions_AVBRJBJONL47I_y
,,91,0.14712,,91,0.14712,,91,0.14712,,91,0.14712
,,113,0.15408,,113,0.15408,,118,0.15905,,122,0.17694
,,162,0.2008,,152,0.19781,,153,0.18688,,166,0.21272
,,196,0.24254,,182,0.21074,,183,0.20974,,233,0.25547
,,233,0.2664,,233,0.24453,,221,0.24254,,267,0.29026
,,292,0.30417,,264,0.25944,,280,0.27932,,304,0.31412
,,328,0.33002,,311,0.27535,,318,0.29125,,343,0.333
,,372,0.35885,,378,0.32107,,343,0.30318,,391,0.35984
,,414,0.39364,,436,0.35388,,398,0.32803,,421,0.37575
,,445,0.40656,,447,0.3572638095238095,,432,0.36083,,447,0.38072
,,447,0.4074670175438596,,,,,447,0.37090837837837837,,,
RSU
,D0601
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,86,0.01957,,86,0.01957,,86,0.01957,,86,0.01957
,,156,0.05484,,114,0.02779,,128,0.03949,,126,0.03705
,,196,0.06973,,156,0.04797,,180,0.06064,,152,0.05131
,,256,0.10184,,182,0.06556,,219,0.08559,,180,0.06082
,,287,0.11259,,218,0.09194,,246,0.10321,,216,0.08178
,,328,0.13281,,259,0.13117,,269,0.11333,,256,0.09423
,,367,0.14143,,295,0.14686,,321,0.14773,,284,0.12191
,,414,0.15777,,344,0.17047,,361,0.17803,,326,0.14267
,,478,0.20077,,377,0.19844,,412,0.21165,,358,0.16204
,,,,,407,0.20712,,462,0.23326,,390,0.17889
,,,,,461,0.24658,,478,0.2367121212121212,,440,0.19551
,,,,,478,0.25358317073170733,,,,,478,0.20707044444444445
,D0603
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,81,0.01869,,81,0.01869,,81,0.01869,,81,0.01869
,,130,0.0492,,130,0.0492,,137,0.05218,,130,0.04726
,,181,0.08175,,187,0.08231,,180,0.08356,,161,0.06928
,,236,0.11536,,234,0.11405,,233,0.12351,,214,0.10145
,,285,0.14935,,279,0.14763,,291,0.15855,,257,0.13048
,,336,0.19228,,333,0.18684,,336,0.17887659574468084,,305,0.1559
,,,,,336,0.1886958,,,,,336,0.17876422222222224
,D0605
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,92,0.01826,,92,0.01826,,92,0.01826,,92,0.01826
,,123,0.0287,,123,0.0287,,145,0.04534,,123,0.0287
,,170,0.05537,,170,0.05537,,179,0.06911,,185,0.05857
,,198,0.07388,,198,0.07224,,216,0.09071,,232,0.09249
,,236,0.09553,,215,0.07732,,233,0.09782,,285,0.13344
,,265,0.1098,,256,0.0983,,272,0.11818,,315,0.14678
,,303,0.1259,,289,0.11808,,320,0.14225,,332,0.15528
,,342,0.14433,,325,0.14479,,348,0.15465,,360,0.17166
,,373,0.16153,,378,0.17872,,372,0.17187,,401,0.1925
,,433,0.19778,,406,0.19525,,418,0.19475,,449,0.20842
,,457,0.20171,,436,0.21062,,457,0.217448,,457,0.2127048780487805
,,,,,457,0.22226219512195122,,,,,,
,D0608
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,91,0.0209,,91,0.0209,,91,0.0209,,91,0.0209
,,135,0.04608,,129,0.03835,,116,0.02972,,121,0.02906
,,174,0.06401,,170,0.0682,,144,0.04523,,162,0.04338
,,232,0.09607,,204,0.09188,,192,0.0664,,200,0.0646
,,281,0.12484,,250,0.12182,,245,0.09239,,241,0.0976
,,320,0.14895,,283,0.14267,,291,0.10928,,275,0.12125
,,366,0.17024,,331,0.17418,,328,0.12855,,335,0.16445
,,399,0.18868,,388,0.20369,,387,0.15925,,376,0.18215
,,454,0.21974,,436,0.22664,,428,0.1985,,424,0.20979
,,505,0.2445,,496,0.25536,,462,0.22652,,474,0.22623
,,,,,505,0.259716,,505,0.2462863492063492,,505,0.24184194444444443
,D0614
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,89,0.0293,,89,0.0293,,89,0.0293,,89,0.0293
,,140,0.06319,,124,0.05311,,123,0.05217,,118,0.04567
,,203,0.10755,,163,0.08686,,171,0.0798,,173,0.08734
,,228,0.12953,,198,0.11585,,217,0.11046,,219,0.12145
,,277,0.17526,,258,0.16125,,253,0.14359,,260,0.1523
,,324,0.20604,,280,0.18613,,303,0.17461,,295,0.17684
,,357,0.2267,,307,0.20671,,332,0.19271,,330,0.20473
,,409,0.25909,,348,0.241,,384,0.22202,,369,0.23496
,,,,,387,0.26976,,409,0.2438348148148148,,409,0.26941454545454546
,,,,,409,0.2792341935483871,,,,,,
,D0615
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,79,0.01776,,79,0.01776,,79,0.01776,,79,0.01776
,,108,0.03377,,108,0.02911,,127,0.03573,,108,0.02911
,,158,0.06537,,166,0.06822,,165,0.06045,,166,0.06822
,,214,0.0868,,208,0.09805,,197,0.07217,,217,0.10315
,,251,0.10505,,244,0.11117,,255,0.11783,,253,0.11911
,,293,0.12805,,280,0.12186,,307,0.14468,,289,0.13332
,,317,0.14159,,318,0.15311,,345,0.16277,,334,0.15053
,,356,0.15881,,364,0.1725,,366,0.17927,,368,0.16468
,,392,0.17995,,393,0.18161,,410,0.20632,,397,0.18361
,,431,0.20023,,431,0.197331568627451,,431,0.21465756756756757,,431,0.2133421052631579
,D0616
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,89,0.02651,,89,0.02651,,89,0.02651,,89,0.02651
,,136,0.05352,,115,0.04202,,129,0.04976,,112,0.0428
,,188,0.09982,,167,0.08593,,155,0.06858,,148,0.06842
,,221,0.12028,,198,0.11337,,191,0.09638,,184,0.09567
,,284,0.15986,,247,0.15174,,241,0.14001,,233,0.13962
,,333,0.19719,,290,0.18078,,285,0.16396,,266,0.15666
,,356,0.21346,,340,0.21056,,344,0.20032,,321,0.18699
,,407,0.25335,,376,0.24102,,375,0.22732,,354,0.21039
,,454,0.28554,,431,0.26582,,429,0.25755,,407,0.2263
,,,,,454,0.281158125,,454,0.2753833333333333,,450,0.234
,,,,,,,,,,,454,0.23529928571428574
,D0617
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,79,0.0202,,79,0.0202,,79,0.0202,,79,0.0202
,,113,0.03226,,117,0.03332,,126,0.05093,,137,0.05233
,,173,0.07202,,150,0.05369,,146,0.05896,,175,0.06931
,,231,0.11247,,190,0.08549,,185,0.0765,,203,0.08314
,,254,0.12162,,240,0.11107,,226,0.10977,,250,0.13315
,,292,0.14855,,298,0.14983,,287,0.13526,,273,0.14918
,,345,0.18284,,318,0.15752,,334,0.14693,,314,0.18195
,,404,0.20828,,367,0.19285,,366,0.1599,,367,0.20646
,,453,0.22466,,420,0.21144,,401,0.1883,,396,0.22702
,,490,0.23367,,472,0.23628,,437,0.2106,,454,0.2553
,,,,,490,0.24463826086956522,,472,0.22583,,490,0.27290170212765963
,,,,,,,,490,0.23706615384615384,,,
,D0620
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,97,0.03299,,97,0.03299,,97,0.03299,,97,0.03299
,,122,0.04557,,122,0.04557,,151,0.05793,,139,0.05176
,,179,0.07801,,176,0.07162,,184,0.07603,,169,0.05781
,,231,0.0991,,233,0.10407,,230,0.08912,,212,0.08514
,,261,0.1139,,281,0.12176,,271,0.10766,,262,0.11672
,,310,0.13971,,315,0.1391,,318,0.14268,,287,0.12943
,,368,0.17361,,359,0.15283,,372,0.17348,,316,0.1463
,,412,0.19155,,388,0.16692,,420,0.18947,,370,0.17291
,,452,0.21478,,422,0.18291,,475,0.21936,,406,0.1827
,,484,0.22482,,473,0.20671,,484,0.22443767441860465,,448,0.1925
,,,,,484,0.21266795918367348,,,,,477,0.20093
,,,,,,,,,,,484,0.20565694444444443
,D0624
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,78,0.02357,,78,0.02357,,78,0.02357,,78,0.02357
,,125,0.05207,,100,0.03801,,133,0.0692,,134,0.06399
,,179,0.08005,,147,0.06874,,189,0.11568,,166,0.09053
,,225,0.13275,,189,0.10271,,220,0.13511,,188,0.11282
,,258,0.15623,,225,0.13131,,262,0.16588,,221,0.13675
,,288,0.17145,,274,0.17884,,284,0.18647,,272,0.17571
,,347,0.22468,,327,0.21011,,339,0.22717,,320,0.20661
,,382,0.25832,,377,0.23181,,401,0.2857,,369,0.24701
,,426,0.28168,,423,0.2667,,426,0.3011779411764706,,403,0.264
,,,,,426,0.2683455882352941,,,,,426,0.27456
,D0627
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y
,,86,0.0194,,86,0.0194,,86,0.0194
,,109,0.03012,,122,0.03791,,127,0.04233
,,136,0.04241,,168,0.06763,,170,0.07483
,,161,0.05099,,205,0.09909,,222,0.11391
,,204,0.07928,,238,0.13062,,245,0.13413
,,240,0.10677,,279,0.15552,,291,0.15603
,,296,0.14152,,328,0.19127,,343,0.1898
,,350,0.19024,,397,0.24171,,370,0.20357
,,385,0.21544,,433,0.26107,,405,0.23221
,,439,0.2362,,480,0.28045,,459,0.25384
,,480,0.25183,,526,0.300186875,,484,0.25914
,,526,0.26822192307692305,,,,,526,0.26548
,D0628
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y
,,77,0.02337,,77,0.02337,,77,0.02337
,,110,0.04197,,110,0.04197,,110,0.04181
,,153,0.06754,,160,0.06822,,154,0.07794
,,189,0.09134,,201,0.09665,,192,0.10048
,,241,0.13778,,258,0.13227,,237,0.13092
,,284,0.17979,,300,0.17373,,280,0.15474
,,337,0.20156,,352,0.21266,,313,0.18365
,,387,0.22718,,412,0.25086,,364,0.23077
,,436,0.24991,,445,0.26741,,412,0.26095
,,459,0.26186,,469,0.28352,,436,0.27207
,,505,0.28192,,508,0.29759,,488,0.3144
,,555,0.30464,,562,0.31529,,521,0.32777
,,591,0.31448923076923074,,591,0.32611032786885247,,551,0.35147
,,,,,,,,591,0.37384
,D0629
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y
,,82,0.01369,,82,0.01369,,82,0.01369
,,122,0.03402,,102,0.02355,,127,0.02941
,,152,0.0465,,157,0.05737,,174,0.05657
,,176,0.05859,,194,0.07552,,221,0.07449
,,203,0.07687,,226,0.0941,,248,0.09419
,,225,0.08916,,281,0.12879,,273,0.10842
,,245,0.10198,,330,0.16339,,292,0.12256
,,276,0.11878,,368,0.18737925925925925,,321,0.15134
,,301,0.1398,,,,,368,0.1798
,,329,0.15297,,,,,,
,,368,0.17251,,,,,,
,D0630
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y,,RealSessions_AVBRJBJONL47I_x,RealSessions_AVBRJBJONL47I_y
,,88,0.01925,,88,0.01925,,88,0.01925,,88,0.01925
,,134,0.04345,,135,0.04285,,138,0.04361,,146,0.05447
,,179,0.06719,,179,0.06277,,182,0.07533,,205,0.0836
,,248,0.10412,,228,0.08625,,230,0.09612,,247,0.10359
,,291,0.13047,,274,0.10774,,280,0.11848,,291,0.13048
,,327,0.14804,,342,0.15403,,326,0.13576,,340,0.15534
,,370,0.17117,,386,0.18225,,375,0.14878,,388,0.1719
,,420,0.19679,,432,0.20177,,421,0.17506,,414,0.1781
,,470,0.21225,,478,0.22485,,482,0.20824,,456,0.1955
,,524,0.24143,,523,0.24015,,524,0.22951,,502,0.21911
,,,,,524,0.2406808695652174,,,,,524,0.2284487755102041
,D0631
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y,,RealSessions_AVBRJBJONL47I_x,RealSessions_AVBRJBJONL47I_y
,,76,0.02128,,76,0.02128,,76,0.02128,,76,0.02128
,,110,0.04265,,114,0.0468,,107,0.03662,,124,0.05041
,,158,0.07256,,150,0.07042,,141,0.06198,,161,0.06784
,,188,0.10237,,182,0.09504,,185,0.08895,,195,0.09124
,,254,0.15797,,236,0.13196,,241,0.11815,,242,0.13609
,,291,0.18482,,276,0.15688,,293,0.15789,,283,0.16672
,,333,0.20994,,329,0.19379,,333,0.18260020408163263,,323,0.19404
,,,,,333,0.19573516129032256,,,,,333,0.2010616216216216
,D0640
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y
,,78,0.0237,,78,0.0237,,78,0.0237
,,106,0.03369,,103,0.04121,,101,0.0374
,,150,0.0645,,142,0.06417,,124,0.05417
,,209,0.09511,,167,0.08303,,143,0.07073
,,232,0.11198,,209,0.10823,,178,0.09635
,,271,0.13513,,249,0.13873,,203,0.1149
,,296,0.15981,,290,0.15851,,228,0.13861
,,324,0.17629,,339,0.19952,,272,0.17238
,,364,0.19822,,383,0.2261,,302,0.18951
,,409,0.22558,,427,0.24719,,338,0.21061
,,437,0.24097034482758622,,437,0.2525378260869565,,366,0.22315
,,,,,,,,405,0.2435
,,,,,,,,437,0.26919
,D0643
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y
,,83,0.02903,,83,0.02903,,83,0.02903
,,139,0.0662,,104,0.03847,,104,0.03847
,,171,0.09404,,150,0.07075,,156,0.08485
,,234,0.14834,,208,0.11819,,196,0.10878
,,255,0.16126,,252,0.15001,,239,0.13419
,,290,0.18727,,299,0.17616,,278,0.1731
,,333,0.21422,,333,0.18856564102564102,,322,0.21361
,,,,,,,,333,0.22229017857142858
,D0645
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y
,,80,0.01707,,80,0.01707,,80,0.01707
,,125,0.04331,,125,0.04331,,130,0.03762
,,163,0.06567,,168,0.07102,,190,0.07081
,,194,0.08008,,215,0.10632,,223,0.09048
,,228,0.11069,,274,0.14842,,252,0.10392
,,273,0.14519,,323,0.18627,,291,0.13278
,,310,0.16715,,385,0.21997,,338,0.158
,,353,0.19797,,425,0.23241,,362,0.16871
,,398,0.22247,,440,0.23684617021276597,,396,0.18415
,,440,0.235,,,,,416,0.19045
,,,,,,,,440,0.20117727272727273
,D0647
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y
,,82,0.01661,,82,0.01661,,82,0.01661
,,99,0.02724,,121,0.03085,,113,0.0302
,,124,0.04524,,150,0.04658,,136,0.04237
,,152,0.06353,,179,0.06211,,161,0.06316
,,209,0.08757,,228,0.10211,,193,0.1011
,,262,0.13867,,268,0.13183,,218,0.12724
,,312,0.18188,,313,0.16599,,273,0.17996
,,345,0.20747,,341,0.18507,,324,0.21851
,,382,0.22906,,372,0.21511,,353,0.24258
,,433,0.26234,,431,0.2645,,386,0.28467
,,,,,433,0.26562655172413796,,427,0.30214
,,,,,,,,433,0.30771400000000004
,D0650
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y,,RealSessions_AVBRJBJONL47I_x,RealSessions_AVBRJBJONL47I_y
,,91,0.02712,,91,0.02712,,91,0.02712,,91,0.02712
,,113,0.03218,,113,0.03229,,118,0.03147,,122,0.03881
,,162,0.05424,,152,0.05104,,153,0.04559,,166,0.06187
,,196,0.08167,,182,0.05999,,183,0.05741,,233,0.09561
,,233,0.10489,,233,0.0848,,221,0.07806,,267,0.12773
,,292,0.13562,,264,0.0948,,280,0.11069,,304,0.15022
,,328,0.15769,,311,0.10655,,318,0.12745,,343,0.1672
,,372,0.18334,,378,0.14129,,343,0.14199,,391,0.19601
,,414,0.21768,,436,0.16691,,398,0.16776,,421,0.20975
,,445,0.2356,,447,0.17207738095238095,,432,0.20349,,447,0.21761
,,447,0.23658385964912282,,,,,447,0.21372243243243244,,,
litepyramid
,D0601
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,86,-1.0,,86,-1.0,,86,-1.0,,86,-1.0
,,156,-1.0,,114,-1.0,,128,-1.0,,126,-1.0
,,196,-1.0,,156,-1.0,,180,-1.0,,152,-1.0
,,256,-1.0,,182,-1.0,,219,-1.0,,180,-1.0
,,287,-1.0,,218,-1.0,,246,-1.0,,216,-1.0
,,328,-1.0,,259,-1.0,,269,-1.0,,256,-1.0
,,367,-1.0,,295,-1.0,,321,-1.0,,284,-1.0
,,414,-1.0,,344,-1.0,,361,-1.0,,326,-1.0
,,478,-1.0,,377,-1.0,,412,-1.0,,358,-1.0
,,,,,407,-1.0,,462,-1.0,,390,-1.0
,,,,,461,-1.0,,478,-1.0,,440,-1.0
,,,,,478,-1.0,,,,,478,-1.0
,D0603
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,81,-1.0,,81,-1.0,,81,-1.0,,81,-1.0
,,130,-1.0,,130,-1.0,,137,-1.0,,130,-1.0
,,181,-1.0,,187,-1.0,,180,-1.0,,161,-1.0
,,236,-1.0,,234,-1.0,,233,-1.0,,214,-1.0
,,285,-1.0,,279,-1.0,,291,-1.0,,257,-1.0
,,336,-1.0,,333,-1.0,,336,-1.0,,305,-1.0
,,,,,336,-1.0,,,,,336,-1.0
,D0605
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,92,-1.0,,92,-1.0,,92,-1.0,,92,-1.0
,,123,-1.0,,123,-1.0,,145,-1.0,,123,-1.0
,,170,-1.0,,170,-1.0,,179,-1.0,,185,-1.0
,,198,-1.0,,198,-1.0,,216,-1.0,,232,-1.0
,,236,-1.0,,215,-1.0,,233,-1.0,,285,-1.0
,,265,-1.0,,256,-1.0,,272,-1.0,,315,-1.0
,,303,-1.0,,289,-1.0,,320,-1.0,,332,-1.0
,,342,-1.0,,325,-1.0,,348,-1.0,,360,-1.0
,,373,-1.0,,378,-1.0,,372,-1.0,,401,-1.0
,,433,-1.0,,406,-1.0,,418,-1.0,,449,-1.0
,,457,-1.0,,436,-1.0,,457,-1.0,,457,-1.0
,,,,,457,-1.0,,,,,,
,D0608
